candidate_id,manufacturer,model,display_name,rated_kw,diameter_m,hub_height_m,cut_in_m_s,rated_m_s,cut_out_m_s,spacing_long_d,spacing_trans_d,curve_file,curve_kind,curve_quality,category,source_name,source_url,source_note
ref_v80_hornsrev1,Vestas / PyWake,V80-2.0 Horns Rev 1,V80-2.0 · Horns Rev 1 / PyWake,2000,80,70,4,17,25,7,4,curves/ref_v80_hornsrev1_pywake.csv,public_tabular,public_reference,public_reference,PyWake · Horns Rev 1 V80 dataset,https://github.com/DTUWindEnergy/PyWake/blob/master/py_wake/examples/data/hornsrev1.py,Curva tabular pública de potencia y CT incluida en el caso Horns Rev 1 de PyWake. Referencia de simulación; no sustituye documentación contractual OEM.
ref_iea37_3350,IEA Wind Task 37,IEA37 3.35 MW benchmark,IEA37 3.35 MW · benchmark,3350,130,110,4,9.8,25,7,4,curves/ref_iea37_3350kw_benchmark.csv,public_benchmark,public_reference,public_reference,IEA Wind Task 37 layout-optimization benchmark,https://github.com/IEAWindSystems/iea37-wflo-casestudies,"Curva idealizada del benchmark IEA37: 3,35 MW, D=130 m, velocidad nominal 9,8 m/s y CT=8/9 en operación. No representa una máquina comercial."
ref_iea_10mw_198,IEA Wind Systems,IEA-10.0-198-RWT,IEA 10 MW · 198 m reference turbine,10000,198,119,4,10.757736,25,8,5,curves/ref_iea_10mw_198m_official.csv,public_tabular,public_reference,public_reference,IEA-10.0-198-RWT · performance_ccblade.dat,https://github.com/IEAWindSystems/IEA-10.0-198-RWT,Potencia eléctrica y CT tomados de la tabla pública performance_ccblade.dat del aerogenerador de referencia IEA de 10 MW.
ref_iea_15mw_240,IEA Wind Systems,IEA-15-240-RWT,IEA 15 MW · 240 m reference turbine,15000,240,150,3,10.659371,25,8,5,curves/ref_iea_15mw_240m_official.csv,public_tabular,public_reference,public_reference,IEA-15-240-RWT · Rotor Performance tabular data,https://github.com/IEAWindSystems/IEA-15-240-RWT,"Potencia y CT tomados de la tabla pública Rotor Performance del aerogenerador de referencia IEA de 15 MW, usando la revisión que corrige la tabla de prestaciones."
gen_onshore_1p5_77,Velantis Generic,GEN-ONSHORE-1.5MW-D77,Genérica terrestre 1.5 MW · D77 m,1500,77,80,3,10.7,25,7,4,curves/gen_onshore_1p5_77.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_2p0_90,Velantis Generic,GEN-ONSHORE-2MW-D90,Genérica terrestre 2 MW · D90 m,2000,90,80,3,10.6,25,7,4,curves/gen_onshore_2p0_90.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_2p0_100,Velantis Generic,GEN-ONSHORE-2MW-D100,Genérica terrestre 2 MW · D100 m,2000,100,95,3,9.9,25,7,4,curves/gen_onshore_2p0_100.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_2p2_120,Velantis Generic,GEN-ONSHORE-2.2MW-D120,Genérica terrestre 2.2 MW · D120 m,2200,120,100,3,9.0,25,7,4,curves/gen_onshore_2p2_120.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_2p3_93,Velantis Generic,GEN-ONSHORE-2.3MW-D93,Genérica terrestre 2.3 MW · D93 m,2300,93,85,3,10.9,25,7,4,curves/gen_onshore_2p3_93.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_2p5_100,Velantis Generic,GEN-ONSHORE-2.5MW-D100,Genérica terrestre 2.5 MW · D100 m,2500,100,90,3,10.7,25,7,4,curves/gen_onshore_2p5_100.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
