candidate_id,display_name,curve_quality,curve_kind,points,rated_kw_catalogue,rated_kw_curve,max_cp_rho_1_225,ws_strictly_increasing,power_nonnegative,power_monotonic_to_rated,rated_power_reached,ct_in_0_1,zero_after_cut_out,max_ct,status,notes
ref_v80_hornsrev1,V80-2.0 · Horns Rev 1 / PyWake,public_reference,public_tabular,28,2000.0,2000.0,0.4437678769338141,True,True,True,True,True,True,0.818,PASS,PyWake · Horns Rev 1 V80 dataset
ref_iea37_3350,IEA37 3.35 MW · benchmark,public_reference,public_benchmark,55,3350.0,3350.0,0.43780820952203287,True,True,True,True,True,True,0.88888889,PASS,IEA Wind Task 37 layout-optimization benchmark
ref_iea_10mw_198,IEA 10 MW · 198 m reference turbine,public_reference,public_tabular,57,10000.0,10000.041655,0.4259032932580923,True,True,True,True,True,True,0.7824304,PASS,IEA-10.0-198-RWT · performance_ccblade.dat
ref_iea_15mw_240,IEA 15 MW · 240 m reference turbine,public_reference,public_tabular,55,15000.0,15000.06216,0.44696968302069284,True,True,True,True,True,True,0.80232366,PASS,IEA-15-240-RWT · Rotor Performance tabular data
gen_onshore_1p5_77,Genérica terrestre 1.5 MW · D77 m,approximate,generic_parametric,54,1500.0,1500.0,0.42930159466049467,True,True,True,True,True,True,0.79318572,PASS,Velantis parametric screening model
gen_onshore_2p0_90,Genérica terrestre 2 MW · D90 m,approximate,generic_parametric,54,2000.0,2000.0,0.4309544872405234,True,True,True,True,True,True,0.79392952,PASS,Velantis parametric screening model
gen_onshore_2p0_100,Genérica terrestre 2 MW · D100 m,approximate,generic_parametric,54,2000.0,2000.0,0.42847791076643726,True,True,True,True,True,True,0.79281506,PASS,Velantis parametric screening model
gen_onshore_2p2_120,Genérica terrestre 2.2 MW · D120 m,approximate,generic_parametric,54,2200.0,2200.0,0.4356489646567818,True,True,True,True,True,True,0.79604203,PASS,Velantis parametric screening model
gen_onshore_2p3_93,Genérica terrestre 2.3 MW · D93 m,approximate,generic_parametric,54,2300.0,2300.0,0.42686099426958396,True,True,True,True,True,True,0.79208745,PASS,Velantis parametric screening model
gen_onshore_2p5_100,Genérica terrestre 2.5 MW · D100 m,approximate,generic_parametric,54,2500.0,2500.0,0.42422152614787556,True,True,True,True,True,True,0.79089969,PASS,Velantis parametric screening model
gen_onshore_2p5_120,Genérica terrestre 2.5 MW · D120 m,approximate,generic_parametric,54,2500.0,2500.0,0.434508204693964,True,True,True,True,True,True,0.79552869,PASS,Velantis parametric screening model
gen_onshore_3p0_112,Genérica terrestre 3 MW · D112 m,approximate,generic_parametric,54,3000.0,3000.0,0.4294586335277322,True,True,True,True,True,True,0.79325639,PASS,Velantis parametric screening model
gen_onshore_3p2_130,Genérica terrestre 3.2 MW · D130 m,approximate,generic_parametric,54,3200.0,3200.0,0.43127282825645263,True,True,True,True,True,True,0.79407277,PASS,Velantis parametric screening model
