ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,51.73026,0.40004603
4,247.098714,0.80009205
4.5,593.706541,0.80009205
5,965.22935,0.80009205
5.5,1284.720265,0.80009205
6,1667.916317,0.80009205
6.5,2120.608882,0.80009205
7,2648.589337,0.80009205
7.5,3257.649057,0.80009205
8,3953.579418,0.80009205
8.5,4742.171797,0.80009205
9,5629.21757,0.80009205
9.5,6620.508112,0.80009205
10,7721.834801,0.80009205
10.5,8938.989011,0.80009205
11,10000,0.78203194
11.5,10000,0.69978012
12,10000,0.62914839
12.5,10000,0.56810835
13,10000,0.51504814
13.5,10000,0.46867499
14,10000,0.42794318
14.5,10000,0.39200012
15,10000,0.36014555
15.5,10000,0.33180044
16,10000,0.3064829
16.5,10000,0.28378951
17,10000,0.26338067
17.5,10000,0.24496897
18,10000,0.22831
18.5,10000,0.21319493
19,10000,0.19944456
19.5,10000,0.18690446
20,10000,0.17544105
20.5,10000,0.16493831
21,10000,0.15529518
21.5,10000,0.14642325
22,10000,0.13824502
22.5,10000,0.13069227
23,10000,0.12370482
23.5,10000,0.1172294
24,10000,0.11121877
24.5,10000,0.1056309
25,10000,0.10042832
25.1,0,0
25.5,0,0
26,0,0
