ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,20.164182,0.39776435
4,96.317772,0.79552869
4.5,231.423669,0.79552869
5,376.241295,0.79552869
5.5,500.777164,0.79552869
6,650.144958,0.79552869
6.5,826.602126,0.79552869
7,1032.406114,0.79552869
7.5,1269.814372,0.79552869
8,1541.084345,0.79552869
8.5,1848.473484,0.79552869
9,2194.239234,0.79552869
9.5,2500,0.77475871
10,2500,0.6815151
10.5,2500,0.60325681
11,2500,0.53702409
11.5,2500,0.48054148
12,2500,0.43203842
12.5,2500,0.39012201
13,2500,0.35368537
13.5,2500,0.32184077
14,2500,0.29387009
14.5,2500,0.26918786
15,2500,0.24731322
15.5,2500,0.22784853
16,2500,0.21046289
16.5,2500,0.19487926
17,2500,0.18086444
17.5,2500,0.16822106
18,2500,0.15678128
18.5,2500,0.14640171
19,2500,0.13695928
19.5,2500,0.12834796
20,2500,0.12047599
20.5,2500,0.11326372
21,2500,0.10664175
21.5,2500,0.10054936
22,2500,0.09493334
22.5,2500,0.08974684
23,2500,0.08494853
23.5,2500,0.08050184
24,2500,0.07637432
24.5,2500,0.07253711
25,2500,0.06896448
25.1,0,0
25.5,0,0
26,0,0
