ws_m_s,power_kW,ct
0,0,0
1,0,0
2,0,0
3,43.076172,0.80232366
3.549532,292.382162,0.78061561
4.067901,607.198261,0.77793149
4.553907,980.088671,0.7815053
5.006427,1401.054266,0.78417642
5.424415,1858.137058,0.78603271
5.806905,2337.614179,0.78649501
6.153013,2824.714087,0.78589907
6.461937,3304.245599,0.78472839
6.732965,3760.917604,0.78328449
6.96547,4180.242631,0.78178556
7.158914,4541.466501,0.77831262
7.312849,4840.771895,0.77831262
7.426921,5070.854718,0.77831262
7.500865,5223.827422,0.77831262
7.534511,5294.438467,0.77831262
7.541242,5308.640252,0.77831262
7.588333,5408.712723,0.77831262
7.675677,5597.637522,0.77831262
7.80307,5881.001727,0.77831262
7.97022,6267.08489,0.77831262
8.176738,6766.980579,0.77831262
8.422148,7394.74618,0.77831262
8.705882,8167.573069,0.77831262
9.027284,9105.967741,0.77831262
9.385612,10233.933273,0.77831262
9.780038,11579.139555,0.77831262
10.209648,13173.070096,0.77831262
10.659371,15000,0.77177317
10.67345,14999.999994,0.74572117
11.170372,15000.019714,0.56001103
11.699265,15000.009475,0.46157322
12.258907,15000.000574,0.38751567
12.848003,15000.000086,0.32852041
13.465192,14999.921298,0.28037536
14.109047,15000.06216,0.24057629
14.778079,15000.036551,0.20740153
15.470742,15000.023246,0.17959192
16.185435,15000.015758,0.15617516
16.920505,15000.011308,0.13638256
17.674253,15000.008281,0.11959611
18.444936,15000.005879,0.10531342
19.230774,15000.003947,0.09312337
20.029948,15000.00237,0.08268769
20.840612,15000.001144,0.07372699
21.660892,15000.000333,0.0660098
22.488891,14999.882555,0.05934337
23.322695,15000.000213,0.05356873
24.160377,15000.000914,0.0485509
25,15000.002018,0.04417841
25.1,0,0
26,0,0
