ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,35.301,0.3987
4.0,168.621,0.7975
4.5,405.148,0.7975
5.0,658.676,0.7975
5.5,876.698,0.7975
6.0,1138.192,0.7975
6.5,1447.112,0.7975
7.0,1807.407,0.7975
7.5,2223.032,0.7975
8.0,2697.938,0.7975
8.5,3236.076,0.7975
9.0,3841.399,0.7975
9.5,4517.86,0.7975
10.0,5269.409,0.7975
10.5,6100,0.7975
11.0,6100,0.7099
11.5,6100,0.6352
12.0,6100,0.5711
12.5,6100,0.5157
13.0,6100,0.4675
13.5,6100,0.4254
14.0,6100,0.3885
14.5,6100,0.3558
15.0,6100,0.3269
15.5,6100,0.3012
16.0,6100,0.2782
16.5,6100,0.2576
17.0,6100,0.2391
17.5,6100,0.2224
18.0,6100,0.2073
18.5,6100,0.1935
19.0,6100,0.181
19.5,6100,0.1697
20.0,6100,0.1593
20.5,6100,0.1497
21.0,6100,0.141
21.5,6100,0.1329
22.0,6100,0.1255
22.5,6100,0.1186
23.0,6100,0.1123
23.5,6100,0.1064
24.0,6100,0.101
24.5,6100,0.0959
25.0,6100,0.0912
25.5,0.0,0
26.0,0.0,0
26.5,0.0,0
27.0,0.0,0
27.5,0.0,0
28.0,0.0,0
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
