ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,24.831,0.3977
4.0,118.607,0.7954
4.5,284.979,0.7954
5.0,463.31,0.7954
5.5,616.666,0.7954
6.0,800.6,0.7954
6.5,1017.892,0.7954
7.0,1271.323,0.7954
7.5,1563.672,0.7954
8.0,1897.718,0.7954
8.5,2276.242,0.7954
9.0,2702.024,0.7954
9.5,3177.844,0.7954
10.0,3706.481,0.7954
10.5,4290.715,0.7954
11.0,4800,0.7775
11.5,4800,0.6957
12.0,4800,0.6255
12.5,4800,0.5648
13.0,4800,0.512
13.5,4800,0.4659
14.0,4800,0.4254
14.5,4800,0.3897
15.0,4800,0.358
15.5,4800,0.3299
16.0,4800,0.3047
16.5,4800,0.2821
17.0,4800,0.2618
17.5,4800,0.2435
18.0,4800,0.227
18.5,4800,0.212
19.0,4800,0.1983
19.5,4800,0.1858
20.0,4800,0.1744
20.5,4800,0.164
21.0,4800,0.1544
21.5,4800,0.1456
22.0,4800,0.1374
22.5,4800,0.1299
23.0,4800,0.123
23.5,4800,0.1165
24.0,4800,0.1106
24.5,4800,0.105
25.0,4800,0.0998
25.5,4800,0.095
26.0,4800,0.0905
26.5,4800,0.0863
27.0,4800,0.0824
27.5,4800,0.0787
28.0,4800,0.0752
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
