ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,42.927,0.3979
4.0,205.049,0.7957
4.5,492.674,0.7957
5.0,800.974,0.7957
5.5,1066.096,0.7957
6.0,1384.083,0.7957
6.5,1759.74,0.7957
7.0,2197.873,0.7957
7.5,2703.287,0.7957
8.0,3280.789,0.7957
8.5,3935.185,0.7957
9.0,4671.28,0.7957
9.5,5493.881,0.7957
10.0,6407.792,0.7957
10.5,6800,0.7401
11.0,6800,0.6588
11.5,6800,0.5895
12.0,6800,0.53
12.5,6800,0.4786
13.0,6800,0.4339
13.5,6800,0.3948
14.0,6800,0.3605
14.5,6800,0.3303
15.0,6800,0.3034
15.5,6800,0.2795
16.0,6800,0.2582
16.5,6800,0.2391
17.0,6800,0.2219
17.5,6800,0.2064
18.0,6800,0.1923
18.5,6800,0.1796
19.0,6800,0.168
19.5,6800,0.1575
20.0,6800,0.1478
20.5,0.0,0
21.0,0.0,0
21.5,0.0,0
22.0,0.0,0
22.5,0.0,0
23.0,0.0,0
23.5,0.0,0
24.0,0.0,0
24.5,0.0,0
25.0,0.0,0
25.5,0.0,0
26.0,0.0,0
26.5,0.0,0
27.0,0.0,0
27.5,0.0,0
28.0,0.0,0
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
