ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,40.509,0.3979
4.0,193.5,0.7957
4.5,464.923,0.7957
5.0,755.858,0.7957
5.5,1006.047,0.7957
6.0,1306.122,0.7957
6.5,1660.62,0.7957
7.0,2074.074,0.7957
7.5,2551.02,0.7957
8.0,3095.994,0.7957
8.5,3713.53,0.7957
9.0,4408.163,0.7957
9.5,5184.429,0.7957
10.0,6046.863,0.7957
10.5,7000,0.7957
11.0,7000,0.7084
11.5,7000,0.6339
12.0,7000,0.5699
12.5,7000,0.5146
13.0,7000,0.4665
13.5,7000,0.4245
14.0,7000,0.3876
14.5,7000,0.3551
15.0,7000,0.3262
15.5,7000,0.3005
16.0,7000,0.2776
16.5,7000,0.2571
17.0,7000,0.2386
17.5,7000,0.2219
18.0,7000,0.2068
18.5,7000,0.1931
19.0,7000,0.1807
19.5,7000,0.1693
20.0,7000,0.1589
20.5,7000,0.1494
21.0,7000,0.1407
21.5,7000,0.1326
22.0,7000,0.1252
22.5,7000,0.1184
23.0,7000,0.1121
23.5,7000,0.1062
24.0,7000,0.1007
24.5,7000,0.0957
25.0,7000,0.091
25.5,0.0,0
26.0,0.0,0
26.5,0.0,0
27.0,0.0,0
27.5,0.0,0
28.0,0.0,0
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
