ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,32.03,0.3994
4.0,152.997,0.7988
4.5,367.609,0.7988
5.0,597.646,0.7988
5.5,795.467,0.7988
6.0,1032.733,0.7988
6.5,1313.029,0.7988
7.0,1639.942,0.7988
7.5,2017.057,0.7988
8.0,2447.96,0.7988
8.5,2936.237,0.7988
9.0,3485.474,0.7988
9.5,4099.257,0.7988
10.0,4500,0.7594
10.5,4500,0.6722
11.0,4500,0.5984
11.5,4500,0.5355
12.0,4500,0.4814
12.5,4500,0.4347
13.0,4500,0.3941
13.5,4500,0.3586
14.0,4500,0.3275
14.5,4500,0.3
15.0,4500,0.2756
15.5,4500,0.2539
16.0,4500,0.2345
16.5,4500,0.2172
17.0,4500,0.2015
17.5,4500,0.1875
18.0,4500,0.1747
18.5,4500,0.1631
19.0,4500,0.1526
19.5,4500,0.143
20.0,4500,0.1343
20.5,4500,0.1262
21.0,4500,0.1188
21.5,4500,0.112
22.0,4500,0.1058
22.5,4500,0.1
23.0,4500,0.0947
23.5,4500,0.0897
24.0,4500,0.0851
24.5,4500,0.0808
25.0,0.0,0
25.5,0.0,0
26.0,0.0,0
26.5,0.0,0
27.0,0.0,0
27.5,0.0,0
28.0,0.0,0
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
